symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
ETHEREUM,"May 6, 2024, 2:07:00 AM",3135.05,3135.735,3135.735,3134.65,3127.0,5,2024-05-06 02:07:00,63.38607005172309,HOLD,
ETHEREUM,"May 6, 2024, 2:08:00 AM",3135.695,3137.37,3137.37,3135.58,3447.0,5,2024-05-06 02:08:00,69.31408776781264,HOLD,
ETHEREUM,"May 6, 2024, 2:09:00 AM",3138.17,3137.55,3138.81,3136.625,3321.0,5,2024-05-06 02:09:00,69.90417581942849,HOLD,
ETHEREUM,"May 6, 2024, 2:10:00 AM",3137.615,3137.14,3138.355,3136.99,3343.0,5,2024-05-06 02:10:00,66.6908972359371,HOLD,
ETHEREUM,"May 6, 2024, 2:11:00 AM",3137.085,3136.08,3137.085,3135.87,3253.0,5,2024-05-06 02:11:00,58.98063110249233,HOLD,
ETHEREUM,"May 6, 2024, 2:12:00 AM",3136.065,3134.975,3136.27,3134.78,3118.0,5,2024-05-06 02:12:00,52.07671524758979,HOLD,
ETHEREUM,"May 6, 2024, 2:13:00 AM",3135.1,3134.49,3135.65,3134.43,3491.0,5,2024-05-06 02:13:00,49.29106600691632,HOLD,
ETHEREUM,"May 6, 2024, 2:14:00 AM",3134.605,3135.015,3135.135,3134.41,3391.0,5,2024-05-06 02:14:00,52.32748146506531,HOLD,
ETHEREUM,"May 6, 2024, 2:15:00 AM",3135.155,3134.385,3135.155,3134.29,3287.0,5,2024-05-06 02:15:00,48.49444756391074,HOLD,
ETHEREUM,"May 6, 2024, 2:16:00 AM",3134.41,3136.2,3136.2,3134.41,3388.0,5,2024-05-06 02:16:00,58.19814319978343,HOLD,
ETHEREUM,"May 6, 2024, 2:17:00 AM",3136.435,3137.55,3137.63,3136.435,3332.0,5,2024-05-06 02:17:00,63.781143769081886,HOLD,
ETHEREUM,"May 6, 2024, 2:18:00 AM",3137.525,3139.1,3139.325,3137.525,3335.0,5,2024-05-06 02:18:00,69.00873908519773,HOLD,
ETHEREUM,"May 6, 2024, 2:19:00 AM",3139.08,3141.605,3142.37,3139.08,3346.0,5,2024-05-06 02:19:00,75.33697068520726,SELL,3141.63
ETHEREUM,"May 6, 2024, 2:20:00 AM",3141.63,3147.295,3149.88,3141.245,3110.0,5,2024-05-06 02:20:00,83.66902959440094,HOLD,
ETHEREUM,"May 6, 2024, 2:21:00 AM",3147.51,3149.14,3149.33,3145.205,3041.0,5,2024-05-06 02:21:00,85.42526731262676,HOLD,
ETHEREUM,"May 6, 2024, 2:22:00 AM",3149.255,3148.755,3152.485,3148.755,3314.0,5,2024-05-06 02:22:00,83.36736651575744,HOLD,
ETHEREUM,"May 6, 2024, 2:23:00 AM",3148.75,3147.86,3148.75,3147.715,3303.0,5,2024-05-06 02:23:00,78.52979347696807,HOLD,
ETHEREUM,"May 6, 2024, 2:24:00 AM",3147.845,3146.11,3149.29,3146.11,3283.0,5,2024-05-06 02:24:00,69.81623454442813,HOLD,
ETHEREUM,"May 6, 2024, 2:25:00 AM",3145.84,3142.055,3145.965,3140.925,3153.0,5,2024-05-06 02:25:00,54.42412714390025,HOLD,
ETHEREUM,"May 6, 2024, 2:26:00 AM",3141.815,3142.385,3142.68,3141.72,3277.0,5,2024-05-06 02:26:00,55.30620050396503,HOLD,
